,Station,Tube Line,Transport Zone,Address,Longitude,Latitude
206,Crews Hill,Overground line,Zone 6,"Enfield EN2 9DS, UK",-0.106844101,51.68447461
207,Cricklewood,Overground line,Zone 3,"Cricklewood, London NW2 1HL, UK",-0.212547934,51.55842267
208,Crofton Park,Overground line,Zone 3,"Crofton Park, London SE4, UK",-0.036546582,51.45517929
209,Crossharbour and London Arena,Overground line,Zone 2,"Isle of Dogs, London E14, UK",-0.014932813,51.49583998
210,Crouch Hill,Overground line,Zone 3,"Finsbury Park, London N4 4AQ, UK",-0.117133285,51.5713271
211,Croxley,Metropolitan line,Zone 7,"Croxley Station, Watford Rd, Croxley Green, Rickmansworth WD3 3DD, UK",-0.441603798,51.64700528
212,Crystal Palace,Overground line,Zone 3,"London SE19 2AZ, UK",-0.072607233,51.41817035
213,Crystal Palace,Overground line,Zone 4,"London SE19 2AZ, UK",-0.072607233,51.41817035
214,Custom House,Overground line,Zone 3,"London E16, UK",0.02577251,51.50962206
215,Cutty Sark for Maritime Greenwich,Overground line,Zone 2,"Greenwich, London SE10 9ED, UK",-0.010581867,51.48194447
216,Cyprus,Overground line,Zone 3,"London, UK",0.063840756,51.50852658
217,Dagenham Dock,Overground line,Zone 5,"Dagenham RM9 6PR, UK",0.145031014,51.5262872
218,Dagenham East,District line,Zone 5,"House, King St, Dagenham, Maidstone ME15 6JQ, UK",0.165833432,51.54418734
219,Dagenham Heathway,District line,Zone 5,"Heathway, Dagenham RM9 5AW, UK",0.14767972,51.54121179
220,Dalston Junction,Overground line,Zone 2,"Dalston Ln, Dalston, London E8 3DE, UK",-0.074994205,51.54609372
221,Dalston Kingsland,Overground line,Zone 2,"Dalston, London E8 2PA, UK",-0.076226922,51.54866782
222,Debden,Central line (London Underground),Zone 6,"Loughton IG10, UK",0.083801475,51.645492
223,Denmark Hill,Overground line,Zone 2,"Denmark Hill, London, UK",-0.09098787,51.46820064
224,Deptford,Overground line,Zone 2,"Deptford, London SE8 4BZ, UK",-0.02619632,51.47889008
225,Deptford Bridge,Overground line,Zone 2,"Deptford, London SE8, UK",-0.022052429,51.47447677
226,Deptford Bridge,Overground line,Zone 3,"Deptford, London SE8, UK",-0.022052429,51.47447677
227,Devons Road,Overground line,Zone 2,"London E3 3PJ, UK",-0.018007754,51.52225847
228,Dollis Hill,Jubilee line,Zone 3,"Dollis Hill, London NW10 1NX, UK",-0.238797762,51.55185059
229,Drayton Green,Overground line,Zone 4,"Drayton Green, West Ealing, London W13, UK",-0.32961126,51.51600468
230,Drayton Park,Overground line,Zone 2,"London N5 1NS, UK",-0.1057702,51.55307831
231,Dundonald Road,Overground line,Zone 3,"Wimbledon, London SW19 3SA, UK",-0.207527113,51.41739815
232,Dundonald Road,Overground line,Zone 4,"Wimbledon, London SW19 3SA, UK",-0.207527113,51.41739815
233,Dundonald Road,Overground line,Zone 5,"Wimbledon, London SW19 3SA, UK",-0.207527113,51.41739815
234,Dundonald Road,Overground line,Zone 6,"Wimbledon, London SW19 3SA, UK",-0.207527113,51.41739815
235,Ealing Broadway,Central line (London Underground),Zone 3,"Ealing, London W5, UK",-0.302010381,51.51486197
236,Ealing Broadway,District line,Zone 3,"Ealing, London W5, UK",-0.302010381,51.51486197
237,Ealing Common,District line,Zone 3,"Ealing Common, London W5, UK",-0.287151418,51.51024866
238,Ealing Common,Piccadilly line,Zone 3,"Ealing Common, London W5, UK",-0.287151418,51.51024866
239,Earls Court,District line,Zone 1,"Earl's Court, London SW5 9RB, UK",-0.194313809,51.49135667
240,Earls Court,Piccadilly line,Zone 1,"Earl's Court, London SW5 9RB, UK",-0.194313809,51.49135667
241,Earls Court,District line,Zone 2,"Earl's Court, London SW5 9RB, UK",-0.194313809,51.49135667
242,Earls Court,Piccadilly line,Zone 2,"Earl's Court, London SW5 9RB, UK",-0.194313809,51.49135667
243,Earlsfield,Overground line,Zone 3,"Earlsfield, London, UK",-0.187272689,51.44223881
244,East Acton,Central line (London Underground),Zone 2,"London, UK",-0.248112225,51.51626341
245,East Croydon,Overground line,Zone 5,"Croydon CR0 1LF, UK",-0.091863496,51.3757161
246,East Dulwich,Overground line,Zone 2,"East Dulwich, London SE22, UK",-0.080436572,51.46162558
247,East Finchley,Northern line,Zone 3,"High Rd, East Finchley, London N2 0NW, UK",-0.164743886,51.58733254
248,East Ham,District line,Zone 3,"East Ham, London E6, UK",0.051516293,51.53924616
249,East Ham,Hammersmith & City line,Zone 3,"East Ham, London E6, UK",0.051516293,51.53924616
250,East Ham,District line,Zone 4,"East Ham, London E6, UK",0.051516293,51.53924616
251,East Ham,Hammersmith & City line,Zone 4,"East Ham, London E6, UK",0.051516293,51.53924616
252,East India,Overground line,Zone 2,"Poplar, London E14 2DP, UK",-0.002370332,51.50868401
253,East India,Overground line,Zone 3,"Poplar, London E14 2DP, UK",-0.002370332,51.50868401
254,East Putney,District line,Zone 2,"Putney, London SW15, UK",-0.210998234,51.45887978
255,East Putney,District line,Zone 3,"Putney, London SW15, UK",-0.210998234,51.45887978
256,Eastcote,Metropolitan line,Zone 5,"Field End Rd, Eastcote, Ruislip HA5 1QZ, UK",-0.396823299,51.57655182
257,Eastcote,Piccadilly line,Zone 5,"Field End Rd, Eastcote, Ruislip HA5 1QZ, UK",-0.396823299,51.57655182
258,Eden Park,Overground line,Zone 5,"Eden Park, Beckenham BR3 3DG, UK",-0.026669716,51.3907961
259,Edgware,Northern line,Zone 5,"Edgware HA8, UK",-0.275093666,51.61422962
260,Edgware Road (Bakerloo),Bakerloo line,Zone 1,"London W2, UK",-0.170539552,51.52064536
