,id,price,distance,address
57898,28950,"£2,300,000",0.1,Millbank Millennium Pier
57899,28950,"£2,300,000",0.3,Lambeth Pier
57900,28951,"£1,000,000",0.1,Paddington
57901,28951,"£1,000,000",0.1,London Paddington
57902,28952,"£3,000,000",0.2,Marble Arch
57903,28952,"£3,000,000",0.4,Bond Street
57904,28953,"£450,000",0.2,Warwick Avenue
57905,28953,"£450,000",0.2,Royal Oak
57906,28954,"£3,795,000",0.2,Oxford Circus
57907,28954,"£3,795,000",0.3,Goodge Street
57908,28955,"£2,000,000",0.1,London Charing Cross
57909,28955,"£2,000,000",0.1,Embankment
57910,28956,"£675,000",0.3,Marble Arch
57911,28956,"£675,000",0.3,Baker Street
57912,28957,"£795,000",0.2,London Marylebone
57913,28957,"£795,000",0.2,Marylebone
57914,28958,"£1,150,000",0.1,Royal Oak
57915,28958,"£1,150,000",0.4,Warwick Avenue
57916,28959,"£1,400,000",0.1,Covent Garden
57917,28959,"£1,400,000",0.2,Leicester Square
57918,28960,"£2,350,000",0.5,London Victoria
57919,28960,"£2,350,000",0.5,Pimlico
57920,28961,"£6,000,000",0.3,Hyde Park Corner
57921,28961,"£6,000,000",0.4,Green Park
57922,28962,"£1,225,000",0.2,Baker Street
57923,28962,"£1,225,000",0.3,Marylebone
57924,28963,"£28,500,000",0.3,Swiss Cottage
57925,28963,"£28,500,000",0.3,South Hampstead
57926,28964,"£850,000",0.2,Sloane Square
57927,28964,"£850,000",0.3,London Victoria
57928,28965,"£895,000",0.3,London Victoria
57929,28965,"£895,000",0.3,Sloane Square
57930,28966,"£440,000",0.3,Marble Arch
57931,28966,"£440,000",0.3,Edgware Road Circle
57932,28967,"£799,950",0.1,Pimlico
57933,28967,"£799,950",0.4,St George Wharf Pier
57934,28968,"£525,000",0.2,Edgware Road Circle
57935,28968,"£525,000",0.3,Edgware Road Bakerloo
57936,28969,"£995,000",0.2,Royal Oak
57937,28969,"£995,000",0.4,Bayswater
57938,28970,"£3,800,000",0.1,Bond Street
57939,28970,"£3,800,000",0.2,Bond Street
57940,28971,"£2,950,000",0.3,Millbank Millennium Pier
57941,28971,"£2,950,000",0.3,Lambeth Pier
57942,28972,"£725,000",0.3,Millbank Millennium Pier
57943,28972,"£725,000",0.3,Pimlico
57944,28973,"£750,000",0.1,Maida Vale
57945,28973,"£750,000",0.5,St. John's Wood
57946,28974,"£450,000",0.2,Royal Oak
57947,28974,"£450,000",0.2,Bayswater
57948,28975,"£1,175,000",0.0,St. John's Wood
57949,28975,"£1,175,000",0.5,South Hampstead
57950,28976,"£799,950",0.3,Pimlico
57951,28976,"£799,950",0.4,London Victoria
57952,28977,"£1,050,000",0.2,London Victoria
57953,28977,"£1,050,000",0.2,Victoria
57954,28978,"£395,000",0.0,Bond Street
57955,28978,"£395,000",0.1,Bond Street
57956,28979,"£845,000",0.1,Queensway
57957,28979,"£845,000",0.1,Bayswater
57958,28980,"£1,250,000",0.3,Warwick Avenue
57959,28980,"£1,250,000",0.4,Edgware Road Bakerloo
57960,28981,"£1,050,000",0.3,Marble Arch
57961,28981,"£1,050,000",0.3,Edgware Road Circle
57962,28982,POA,0.3,Royal Oak
57963,28982,POA,0.3,Westbourne Park
57964,28983,"£1,150,000",0.3,Millbank Millennium Pier
57965,28983,"£1,150,000",0.3,Lambeth Pier
57966,28984,"£575,000",0.3,St. John's Wood
57967,28984,"£575,000",0.5,Maida Vale
57968,28985,"£1,300,000",0.3,Bond Street
57969,28985,"£1,300,000",0.4,Bond Street
57970,28986,"£800,000",0.2,London Paddington
57971,28986,"£800,000",0.2,Paddington
57972,28987,"£890,000",0.3,St. James's Park
57973,28987,"£890,000",0.4,Pimlico
57974,28988,"£2,000,000",0.2,Covent Garden
57975,28988,"£2,000,000",0.2,Tottenham Court Road
57976,28989,"£995,000",0.2,Edgware Road Circle
57977,28989,"£995,000",0.3,Edgware Road Bakerloo
57978,28990,"£1,400,000",0.2,Edgware Road Circle
57979,28990,"£1,400,000",0.3,Edgware Road Bakerloo
57980,28991,"£4,000,000",0.3,Paddington
57981,28991,"£4,000,000",0.4,Lancaster Gate
57982,28992,"£825,000",0.1,Piccadilly Circus
57983,28992,"£825,000",0.3,Leicester Square
57984,28993,"£1,930,000",0.1,Holborn
57985,28993,"£1,930,000",0.3,Covent Garden
57986,28994,"£950,000",0.4,London Marylebone
57987,28994,"£950,000",0.5,Marylebone
57988,28995,"£1,200,000",0.2,Marble Arch
57989,28995,"£1,200,000",0.5,Edgware Road Circle
57990,28996,"£495,000",0.2,Notting Hill Gate
57991,28996,"£495,000",0.3,Queensway
57992,28997,"£1,350,000",0.1,Leicester Square
57993,28997,"£1,350,000",0.2,Covent Garden
57994,28998,"£599,950",0.3,Westbourne Park
57995,28998,"£599,950",0.6,Royal Oak
57996,28999,"£775,000",0.3,Pimlico
57997,28999,"£775,000",0.5,London Victoria
57998,29000,"£749,950",0.3,Kilburn High Road
57999,29000,"£749,950",0.4,South Hampstead
58000,29001,"£2,250,000",0.1,Green Park
58001,29001,"£2,250,000",0.4,Piccadilly Circus
58002,29002,"£2,100,000",0.2,Victoria
58003,29002,"£2,100,000",0.2,London Victoria
58004,29003,"£950,000",0.3,St. James's Park
58005,29003,"£950,000",0.4,Victoria
58006,29004,"£1,850,000",0.1,Oxford Circus
58007,29004,"£1,850,000",0.3,Tottenham Court Road
58008,29005,"£1,195,000",0.1,Maida Vale
58009,29005,"£1,195,000",0.4,Kilburn Park
58010,29006,"£599,000",0.5,Maida Vale
58011,29006,"£599,000",0.5,Westbourne Park
58012,29007,"£950,000",0.3,Pimlico
58013,29007,"£950,000",0.3,Victoria
58014,29008,"£745,000",0.4,Pimlico
58015,29008,"£745,000",0.5,London Victoria
58016,29009,"£1,125,000",0.2,Oxford Circus
58017,29009,"£1,125,000",0.4,Goodge Street
58018,29010,"£650,000",0.2,Westbourne Park
58019,29010,"£650,000",0.6,Ladbroke Grove
58020,29011,"£1,700,000",0.2,Royal Oak
58021,29011,"£1,700,000",0.3,London Paddington
58022,29012,"£2,699,950",0.2,Temple
58023,29012,"£2,699,950",0.2,Savoy Pier
58024,29013,"£950,000",0.1,Marylebone
58025,29013,"£950,000",0.1,London Marylebone
58026,29014,"£560,000",0.2,London Marylebone
58027,29014,"£560,000",0.2,Marylebone
58028,29015,"£3,250,000",0.4,St. John's Wood
58029,29015,"£3,250,000",0.8,South Hampstead
58030,29016,"£4,750,000",0.1,Hyde Park Corner
58031,29016,"£4,750,000",0.3,Knightsbridge
58032,29017,"£2,250,000",0.2,Maida Vale
58033,29017,"£2,250,000",0.4,Kilburn Park
58034,29018,"£925,000",0.2,Victoria
58035,29018,"£925,000",0.3,London Victoria
58036,29019,"£415,000",0.2,Queensway
58037,29019,"£415,000",0.2,Bayswater
58038,29020,"£1,795,000",0.1,London Paddington
58039,29020,"£1,795,000",0.2,Paddington
58040,29021,"£2,200,000",0.0,Charing Cross
58041,29021,"£2,200,000",0.1,London Charing Cross
58042,29022,"£320,000",0.1,Kilburn High Road
58043,29022,"£320,000",0.3,Kilburn Park
58044,29023,"£475,000",0.3,Pimlico
58045,29023,"£475,000",0.5,St George Wharf Pier
58046,29024,"£1,000,000",0.2,Piccadilly Circus
58047,29024,"£1,000,000",0.2,Leicester Square
58048,29025,"£1,345,000",0.3,St. James's Park
58049,29025,"£1,345,000",0.3,Millbank Millennium Pier
58050,29026,"£900,000",0.2,Bayswater
58051,29026,"£900,000",0.3,Royal Oak
58052,29027,"£520,000",0.5,Pimlico
58053,29027,"£520,000",0.6,London Victoria
58054,29028,"£2,750,000",0.3,Baker Street
58055,29028,"£2,750,000",0.3,Regent's Park
58056,29029,"£4,000,000",0.2,Green Park
58057,29029,"£4,000,000",0.4,Hyde Park Corner
58058,29030,"£1,195,000",0.1,Maida Vale
58059,29030,"£1,195,000",0.4,Kilburn Park
58060,29031,"£900,000",0.3,Marble Arch
58061,29031,"£900,000",0.3,Edgware Road Circle
58062,29032,"£350,000",0.2,Notting Hill Gate
58063,29032,"£350,000",0.3,Bayswater
58064,29033,"£675,000",0.2,Charing Cross
58065,29033,"£675,000",0.2,London Charing Cross
58066,29034,"£5,500,000",0.4,St. John's Wood
58067,29034,"£5,500,000",0.5,Swiss Cottage
58068,29035,"£2,300,000",0.2,Covent Garden
58069,29035,"£2,300,000",0.2,Holborn
58070,29036,"£1,999,950",0.2,London Paddington
58071,29036,"£1,999,950",0.3,Royal Oak
58072,29037,"£5,500,000",0.4,St. John's Wood
58073,29037,"£5,500,000",0.5,Swiss Cottage
58074,29038,"£550,000",0.4,St. John's Wood
58075,29038,"£550,000",0.5,London Marylebone
58076,29039,"£2,500,000",0.3,Marble Arch
58077,29039,"£2,500,000",0.3,Marylebone
58078,29040,"£575,000",0.1,Edgware Road Bakerloo
58079,29040,"£575,000",0.1,Edgware Road Circle
58080,29041,"£799,950",0.3,St. John's Wood
58081,29041,"£799,950",0.4,Maida Vale
58082,29042,"£520,000",0.3,St. John's Wood
58083,29042,"£520,000",0.4,Maida Vale
58084,29043,"£890,000",0.2,St. James's Park
58085,29043,"£890,000",0.4,Millbank Millennium Pier
58086,29044,"£2,300,000",0.2,Covent Garden
58087,29044,"£2,300,000",0.2,Holborn
58088,29045,"£425,000",0.3,Edgware Road Circle
58089,29045,"£425,000",0.3,Marble Arch
58090,29046,"£565,000",0.5,Maida Vale
58091,29046,"£565,000",0.5,Westbourne Park
58092,29047,"£925,000",0.4,Maida Vale
58093,29047,"£925,000",0.5,Warwick Avenue
58094,29048,"£1,600,000",0.5,Sloane Square
58095,29048,"£1,600,000",0.6,London Victoria
58096,29049,"£899,999",0.0,Bayswater
58097,29049,"£899,999",0.1,Queensway
58098,29050,"£480,000",0.2,Westbourne Park
58099,29050,"£480,000",0.6,Ladbroke Grove
58100,29051,"£450,000",0.4,Westbourne Park
58101,29051,"£450,000",0.5,Queen's Park
58102,29052,"£350,000",0.4,Sloane Square
58103,29052,"£350,000",0.6,London Victoria
58104,29053,"£1,195,000",0.3,London Victoria
58105,29053,"£1,195,000",0.3,Victoria
58106,29054,"£2,395,000",0.3,Regent's Park
58107,29054,"£2,395,000",0.4,Great Portland Street
58108,29055,"£2,250,000",0.2,Great Portland Street
58109,29055,"£2,250,000",0.2,Regent's Park
58110,29056,"£4,500,000",0.1,Sloane Square
58111,29056,"£4,500,000",0.5,London Victoria
58112,29057,"£2,200,000",0.3,Regent's Park
58113,29057,"£2,200,000",0.4,Bond Street
58114,29058,"£1,150,000",0.1,Marble Arch
58115,29058,"£1,150,000",0.4,Bond Street
58116,29059,"£890,000",0.1,Edgware Road Bakerloo
58117,29059,"£890,000",0.2,Edgware Road Circle
58118,29060,"£16,950,000",0.2,St. John's Wood
58119,29060,"£16,950,000",0.5,Maida Vale
58120,29061,"£3,000,000",0.1,Bayswater
58121,29061,"£3,000,000",0.2,Queensway
58122,29062,"£395,000",0.3,Marble Arch
58123,29062,"£395,000",0.4,Edgware Road Circle
58124,29063,"£1,150,000",0.1,Pimlico
58125,29063,"£1,150,000",0.4,Millbank Millennium Pier
58126,29064,"£550,000",0.2,Maida Vale
58127,29064,"£550,000",0.3,Warwick Avenue
58128,29065,"£435,000",0.3,London Victoria
58129,29065,"£435,000",0.4,Victoria
58130,29066,"£12,950,000",0.2,Victoria
58131,29066,"£12,950,000",0.3,London Victoria
58132,29067,"£485,000",0.4,Pimlico
58133,29067,"£485,000",0.6,London Victoria
58134,29068,"£269,000",0.2,Lancaster Gate
58135,29068,"£269,000",0.3,Paddington
58136,29069,"£3,050,000",0.2,Edgware Road Circle
58137,29069,"£3,050,000",0.2,Edgware Road Bakerloo
58138,29070,"£1,125,000",0.1,Maida Vale
58139,29070,"£1,125,000",0.4,Warwick Avenue
58140,29071,"£826,500",0.2,Bayswater
58141,29071,"£826,500",0.3,Queensway
58142,29072,"£1,275,000",0.2,London Paddington
58143,29072,"£1,275,000",0.3,Edgware Road Bakerloo
58144,29073,"£440,000",0.3,Marble Arch
58145,29073,"£440,000",0.3,Edgware Road Circle
58146,29074,"£750,000",0.2,St. James's Park
58147,29074,"£750,000",0.4,Victoria
58148,29075,"£975,000",0.3,Bayswater
58149,29075,"£975,000",0.3,Royal Oak
58150,29076,"£1,150,000",0.3,Edgware Road Circle
58151,29076,"£1,150,000",0.4,Marble Arch
58152,29077,"£545,000",0.2,Edgware Road Bakerloo
58153,29077,"£545,000",0.2,Paddington
